latitude,longitude,list_of_name_keys,list_of_names,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
-81.458,-49.833,14,Filchner Ice Shelf (Ellsworth) Traverse 1957-1958,3,-9999,1957-12-06,1957-12-06,1
-81.449,176.597,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.33,-104.533,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-24,1958-12-24,1
-81.314,170.089,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.281,166.985,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.263,-120.883,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-11-07,1958-11-07,1
-81.212,170.75,16,Ross Ice Shelf Traverse 1957-1958,5,1,1957-12-13,1957-12-13,1
-81.194,170.497,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1976-01-01,1976-01-01,1
-81.168,-168.2,16,Ross Ice Shelf Traverse 1957-1958,5,1,1958-01-26,1958-01-26,1
-81.167,-116.8,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-81.167,25.5,42,South Pole-Queen Maud Land Traverse II,30,-9999,1966-01-20,1966-01-20,1
-81.163,-107.417,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-12-26,1958-12-26,1
-81.13,163.44,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-81.128,-71.333,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-11-23,1958-11-23,1
-81.054167,122.346667,369,Windglaze-eaiist,82,-9999,2020-01-01,2020-01-01,1
-81.05,-68.0,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-11-21,1958-11-21,1
-81.05,-61.547,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-02-28,1958-02-28,1
